CustomerID,Gender,Age,Annual Income,Spending Score
1,0,19,15.0,39
2,0,21,15.0,81
3,1,20,16.0,6
4,1,23,16.0,77
5,1,31,17.0,40
6,1,22,17.0,76
7,1,35,18.0,6
8,1,23,18.0,94
9,0,64,19.0,3
10,1,30,19.0,72
11,0,67,19.0,14
12,1,35,19.0,99
13,1,58,20.0,15
14,1,24,20.0,77
15,0,37,20.0,13
16,0,22,20.0,79
17,1,35,21.0,35
18,0,20,21.0,66
19,0,52,23.0,29
20,1,35,23.0,98
21,0,35,24.0,35
22,0,25,24.0,73
23,1,46,25.0,5
24,0,31,25.0,73
25,1,54,28.0,14
26,0,29,28.0,82
27,1,45,28.0,32
28,0,35,28.0,61
29,1,40,29.0,31
30,1,23,29.0,87
31,0,60,30.0,4
32,1,21,30.0,73
33,0,53,33.0,4
34,0,18,33.0,92
35,1,49,33.0,14
36,1,21,33.0,81
37,1,42,34.0,17
38,1,30,34.0,73
39,1,36,37.0,26
40,1,20,37.0,75
41,1,65,38.0,35
42,0,24,38.0,92
43,0,48,39.0,36
44,1,31,39.0,61
45,1,49,39.0,28
46,1,24,39.0,65
47,1,50,40.0,55
48,1,27,40.0,47
49,1,29,40.0,42
50,1,31,40.0,42
51,1,49,42.0,52
52,0,33,42.0,60
53,1,31,43.0,54
54,0,59,43.0,60
55,1,50,43.0,45
56,0,47,43.0,41
57,1,51,44.0,50
58,0,69,44.0,46
59,1,27,46.0,51
60,0,53,46.0,46
61,0,70,46.0,56
62,0,19,46.0,55
63,1,67,47.0,52
64,1,54,47.0,59
65,0,63,48.0,51
66,0,18,48.0,59
67,1,43,48.0,50
68,1,68,48.0,48
69,0,19,48.0,59
70,1,32,48.0,47
71,0,70,49.0,55
72,1,47,49.0,42
73,1,60,50.0,49
74,1,60,50.0,56
75,0,59,54.0,47
76,0,26,54.0,54
77,1,45,54.0,53
78,0,40,54.0,48
79,1,23,54.0,52
80,1,49,54.0,42
81,0,57,54.0,51
82,0,38,54.0,55
83,0,67,54.0,41
84,1,46,54.0,44
85,1,21,54.0,57
86,0,48,54.0,46
87,1,55,57.0,58
88,1,22,57.0,55
89,1,34,58.0,60
90,1,50,58.0,46
91,1,68,59.0,55
92,0,18,59.0,41
93,0,48,60.0,49
94,1,40,60.0,40
95,1,32,60.0,42
96,0,24,60.0,52
97,1,47,60.0,47
98,1,27,60.0,50
99,0,48,61.0,42
100,0,20,61.0,49
101,1,23,62.0,41
102,1,49,62.0,48
103,0,67,62.0,59
104,0,26,62.0,55
105,0,49,62.0,56
106,1,21,62.0,42
107,1,66,63.0,50
108,0,54,63.0,46
109,0,68,63.0,43
110,0,66,63.0,48
111,0,65,63.0,52
112,1,19,63.0,54
113,1,38,64.0,42
114,0,19,64.0,46
115,1,18,65.0,48
116,1,19,65.0,50
117,1,63,65.0,43
118,1,49,65.0,59
119,1,51,67.0,43
120,1,50,67.0,57
121,0,27,67.0,56
122,1,38,67.0,40
123,1,40,69.0,58
124,0,39,69.0,91
125,1,23,70.0,29
126,1,31,70.0,77
127,0,43,71.0,35
128,0,40,71.0,95
129,0,59,71.0,11
130,0,38,71.0,75
131,0,47,71.0,9
132,0,39,71.0,75
133,1,25,72.0,34
134,1,31,72.0,71
135,0,20,73.0,5
136,1,29,73.0,88
137,1,44,73.0,7
138,0,32,73.0,73
139,0,19,74.0,10
140,1,35,74.0,72
141,1,57,75.0,5
142,0,32,75.0,93
143,1,28,76.0,40
144,1,32,76.0,87
145,0,25,77.0,12
146,0,28,77.0,97
147,0,48,77.0,36
148,1,32,77.0,74
149,1,34,78.0,22
150,0,34,78.0,90
151,0,43,78.0,17
152,0,39,78.0,88
153,1,44,78.0,20
154,1,38,78.0,76
155,1,47,78.0,16
156,1,27,78.0,89
157,0,37,78.0,1
158,1,30,78.0,78
159,0,34,78.0,1
160,1,30,78.0,73
161,1,56,79.0,35
162,1,29,79.0,83
163,0,19,81.0,5
164,1,31,81.0,93
165,0,50,85.0,26
166,1,36,85.0,75
167,0,42,86.0,20
168,1,33,86.0,95
169,1,36,87.0,27
170,0,32,87.0,63
171,0,40,87.0,13
172,0,28,87.0,75
173,0,36,87.0,10
174,0,36,87.0,92
175,1,52,88.0,13
176,1,30,88.0,86
177,0,58,88.0,15
178,0,27,88.0,69
179,0,59,93.0,14
180,0,35,93.0,90
181,1,37,97.0,32
182,1,32,97.0,86
183,0,46,98.0,15
184,1,29,98.0,88
185,1,41,99.0,39
186,0,30,99.0,97
187,1,54,101.0,24
188,0,28,101.0,68
189,1,41,103.0,17
190,1,36,103.0,85
191,1,34,103.0,23
192,1,32,103.0,69
193,0,33,113.0,8
194,1,38,113.0,91
195,1,47,120.0,16
196,1,35,120.0,79
197,1,45,126.0,28
198,0,32,126.0,74
199,0,32,132.75,18
200,0,30,132.75,83
